|网点名称|地址|电话|区县|经纬度|银行名称
592||||||中国农业银行24小时自助银行(朝阳路分理处)
593||||||中国工商银行24小时自助银行(铜川新区支行)
594||||||中国邮政储蓄银行(印台区支行)
595||||||陕西信合铜川市王益区农村信用合作联社翠溪分社
596||||||中国工商银行24小时自助银行(耀州区支行药王路)
597||||||中国邮政储蓄银行(新街营业所)
598||||||中国邮政储蓄银行(徐家沟邮电所)
602||||||中国建设银行24小时自助银行(五一路支行)
603||||||陕西信合铜川市印台区农村信用合作联社印台分社
604||||||中国农业银行24小时自助银行(铜川七一路支行)
605||||||中国银行24小时自助银行(华原东道)
606||||||中国农业银行24小时自助银行(铜川印台区支行)
608||||||陕西信合(三里洞分社)
612||||||中国工商银行附行式自助银行(铜川分行耀州区支行药王路)
613||||||陕西信合铜川市王益区农村信用合作联社铜工信用社
614||||||中国邮政储蓄银行24小时自助银行(长虹路营业所)
615||||||陕西信合24小时自助银行(长虹信用社)
616||||||陕西信合24小时自动银行
617||||||中国信合(长虹信用社)
618||||||中国农业银行24小时自助银行(铜川火车站分理处)
619||||||中国邮政储蓄银行24小时自助银行(陕西省耀州区支行)
620||||||陕西信合ATM
621||||||长安银行24小时自助银行(枫林社区支行)
622||||||中国信合24小时自助银行(印台区新街分社)
623||||||中国银行24小时自助银行(文营西路)
624||||||中国工商银行24小时自助银行(铜川王益区支行)(装修中)
627||||||中国工商银行附行式自助银行(铜川分行印台区支行同官路)
628||||||长安银行24小时自助银行(金鼎路社区支行)
631||||||西安银行24小时自助银行
632||||||长安银行24小时自助银行
635||||||中国工商银行24小时自助银行(铜川朝阳路支行)
636||||||中国工商银行(铜川分行王益区支行王益区便民服务中心离行式自助银行)
637||||||农村信用合作社(高楼河信用社)
638||||||中国邮政储蓄银行24小时自助银行(耀州区支行)
640||||||陕西信合24小时自助银行(红旗分社)
642||||||陕西信合24小时自助银行(城关信用社)
643||||||中国银行智能化旗舰店(川口店)
644||||||中国邮政储蓄银行24小时自助银行(铜川市铁诺营业所)
645||||||陕西信合24小时自助银行(金谟路信用社)
646||||||长安银行(铜川分行王益区支行)
647||||||中国工商银行(宜君县支行)
648||||||中国邮政储蓄银行24小时自助银行(红旗营业所)
650||||||中国邮政储蓄银行24小时自助银行(印台区支行)
651||||||陕西信合24小时自助银行(黄堡信用社)
652||||||中国邮政储蓄银行24小时自助银行(傲背营业所)
653||||||中国邮政储蓄银行24小时自助银行(庙湾营业所)
655||||||中国邮政储蓄银行24小时自助银行(广阳营业所)
656||||||中国邮政储蓄银行ATM(青年路)
657||||||陕西信合(柿树沟信用社)
658||||||陕西信合24小时自助银行(照金信用社)
659||||||陕西省农村信用合作社-铜川市印台区财政惠民补贴资金兑付中心
660||||||中国邮政储蓄银行24小时自助银行(红土镇营业所)
661||||||陕西信合24小时自助银行(新街信用社)
662||||||陕西省农村信用合作社ATM
663||||||中国建设银行(同官路支行)
664||||||陕西信合24小时自助银行(王石凹信用社)
665||||||农村信用合作社
666||||||陕西信合24小时自助银行(金华分社)
667||||||陕西信合24小时自助银行(南苑信用社)
668||||||陕西信合(云梦信用社)
669||||||中国工商银行ATM(黄堡街)
670||||||陕西信合(哭泉信用社)
672||||||陕西信合(营业部)
673||||||陕西信合(龙山分社)
674||||||陕西信合(尧生信用社)
675||||||陕西信合(西村信用社)
676||||||陕西信合24小时自助银行(同官信用社)
677||||||铜川税务24小时自助办税自助银行服务
678||||||长安银行24小时自助银行(鸿基路小微支行)
679||||||中国邮政储蓄银行(东坡营业所)
680||||||农村信用合作社(小丘分社)
681||||||中国信合24小时自助银行(黄堡信用社)
682||||||中国信合(孙塬信用社)
683||||||陕西信合24小时自助银行(王家河信用社)
684||||||铜川市王益区农村信用合作联社(营业部)
686||||||中国信合24小时自助银行(三里洞分社)
687||||||中国邮政储蓄银行ATM(红旗支行)
688||||||陕西信合铜川市王益区农村信用合作联社24小时自助银行(黄堡分社)
689||||||陕西信合24小时自助银行(金锁信用社)
690||||||王益区农村信用合作社联合社24小时自助银行
691||||||陕西信合24小时自助银行(黄堡分社)
692||||||陕西信合(印台联社城关分社)
693||||||陕西信合24小时自助银行(鑫光信用社)
694||||||中国建设银行24小时自助银行(同官路支行)
695||||||中国农业银行(宜君支行)
696||||||中国信合ATM(王益信用社)
698||||||陕西省农村信用合作社24小时自助银行
699||||||中国工商银行24小时自助银行(印台区支行同官路)
700||||||铜川印台恒通村镇银行24小时自助银行
701||||||中国邮政储蓄银行(石节支行)
702||||||陕西信合24小时自助银行(营业部)
704||||||陕西信合24小时自助银行(三里洞分社)
705||||||中国农业发展银行(宜君县支行)
707||||||长安银行24小时自助银行(王益区支行)
708||||||中国邮政储蓄银行(尧生营业所)
709||||||中国邮政储蓄银行(宜君支行)
710||||||陕西信合24小时自助银行(印台区营业部)
712||||||农村信用合作社(庙湾信用社)
713||||||中国邮政储蓄银行24小时自助银行(五一路营业所)
714||||||中国农业银行24小时自助银行(宜君支行)
716||||||中国邮政储蓄银行(五里镇营业所)
717||||||宜君县城关农村信用合作社
719||||||中国信合24小时自助银行(长虹信用社)
720||||||陕西信合24小时自助银行(太安信用社)
722||||||中国邮政储蓄银行24小时自助银行(尧生营业所)
723||||||中国邮政储蓄银行24小时自助银行(宜阳街营业所)
724||||||中国邮政储蓄银行24小时自助银行(五里镇营业所)
725||||||陕西信合24小时自助银行(哭泉信用社)
726||||||陕西信合24小时自助银行(棋盘信用社)
727||||||陕西信合24小时自助银行(西村信用社)
728||||||农村信用合作社(彭镇)
730||||||西村信用社24小时自助银行(宜君县农村信用合作联社)
734||||||宜君县城关农村信用合作社24小时自助银行
736||||||中国农业银行24小时自助银行(铜川新区支行)
737||||||中国信合24小时自助银行(楼村信用社)
738||||||中国信合(坡头信用社)
740||||||中国信合ATM(新城信用社)
741||||||陕西信合(山城信用社)
742||||||中国银行(金谟路支行)
743||||||中国农业银行(新区支行)
744||||||中国信合(鑫光储蓄所)
745||||||中国工商银行(铜川正阳路支行)
746||||||中国工商银行(耀州区支行)
747||||||中国银行(铜川耀州区支行)
748||||||中国工商银行(铜川新区支行)
749||||||中国银行(西街支行)
750||||||长安银行(永乐商城)
751||||||中国建设银行(铜川新区支行)
753||||||中国信合(柳林中心卫生院北)
755||||||铜川耀州新华村镇银行
756||||||中国工商银行
757||||||中国信合(关庄信用社)
758||||||中国建设银行(永安北路支行)
759||||||中国工商银行(长丰北路)
